displayName,description,subgraphID,signal,codeRepository,image,website
Protocol Multy Raw,Aave protocol subgraph with all pools data,QmS8ZBEgXisX7yEm8daSQmmVkwQ6wH6WU1B4nBkYKrjHo2,1080525,https://github.com/graphprotocol/aave-protocol,https://storage.googleapis.com/subgraph-images/1590485690460sticker_aave_telegram.png,
Gnosis protocol,Gnosis Protocol,QmQrapV3GN6GnkMByUbf6Xrw1xVqSNAbQtNkXsy6xKAs15,1080525,https://github.com/gnosis/dex-subgraph,https://storage.googleapis.com/subgraph-images/1585926751418Gnosis_protocol_2019_logo_all_rgb_orange.png,
Mooniswap,stat for mooniswap,QmUBFkuoDzxHx2EPxwGQdBwshqTF79fzKQnXjTRNVHwg6e,540262,,https://storage.googleapis.com/subgraph-images/default/sg-4.png,
Marketplace,Decentraland's Marketplace,QmXdZDKnDX2o9qfupGDTXFM1xxspndHrHAGpbkWAPMs6Qk,540262,https://github.com/decentraland/marketplace,https://storage.googleapis.com/subgraph-images/1578327676983color.png,
Swap Subgraph,Swap Subgraph for Crypto.com DeFi,QmXhAzDVyYnxSLaeLGDpN941WJ3tyatqhyxh9ScwM82cgJ,540262,,https://storage.googleapis.com/subgraph-images/default/sg-6.png,
Known Origin,KnownOrigin artwork listings,QmTFeK8XKtA6hm2nZ8ectqyqTmx1ga8qiMpxQyyxfBrduv,507846,https://github.com/knownorigin/known-origin-subgraph,https://storage.googleapis.com/subgraph-images/1575098880182440px_LogoIcn.png,
Known Origin 2,Known Origin 2,QmXQdKGK1GFioQBuEPGSbugJkdfh35owJpiujgAZA1yXeg,216105,,,
Balancer Beta,Balancer beta,QmSvK3A8LU4p87sxskbsScovTKVUNt873ZgGMXWG1aMJaZ,162078,,,
Cream Swap Beta,Crypto Rules Everything Around Me C.R.E.A.M.,QmREAAZS5ZB5nAABCutPRVBGVgaVHz21e1miwWXnpGZm51,108052,https://github.com/CreamFi/balancer-subgraph,https://storage.googleapis.com/subgraph-images/1599400535254CREAM_transparent_Secondary_straight_color.png,
mStable Governance,mStable Governance Subgraph,QmdXYzFaj3nqURSpx7jWvkiYnzVaMobTnQfXzPYYjnYLqv,108052,,https://storage.googleapis.com/subgraph-images/1599839414747mta.png,
Synthetix Exchanges,A subgraph on all exchanges in Synthetix,QmX9CNPbbYoFGvucHzNJkjTAMGKNWzUSFveWmgdoB6WVJm,108052,https://github.com/Synthetixio/synthetix-subgraph,https://storage.googleapis.com/subgraph-images/1569869352912Slack___jordan___Synthetix.jpg,
Uniswap V2,Piouls uniswap,Qmb6iDb7A8DHox3cLThFXkBbzKfBx8BbLjZwQTzspLWXG1,108052,,,
v39_8,arc index mainnet,QmWex7boz79MGkYmcLbjDg4N13kLsLQAtTfLyjcz6RgJ9i,54026,,https://storage.googleapis.com/subgraph-images/default/sg-4.png,
Yearn Vault ROI Dev,Development subgraph for yearn vault ROI,Qmdab4gjWa1yCACgAAcWjab2c16oqmPo6j5WtZjZ21UxcZ,54026,,https://storage.googleapis.com/subgraph-images/default/sg-5.png,
Compound V2,A protocol for algorithmic efficient Money Markets.,QmTN6gMCBCYTgbis33eSvr6sLsQoQ3R6a2KzR7CqmMABQP,54026,,https://storage.googleapis.com/subgraph-images/1573145149921compound.png,
Opyn,Opyn Mainnet Subgraph,QmNVmy3hA6JVqZfMGoQc68GsB9GzGiEVLjhR1pHLY2xwuS,32415,https://https://github.com/aparnakr/OpynGraph,,
Uniswap,Uniswap data importer for Unspent.io,QmRpG1kMLJxnruvCScfs4JYPeHJEnJk1ZsEdhpfqaGPUHs,32415,,https://storage.googleapis.com/subgraph-images/default/sg-6.png,
ENS,A secure & decentralized way to address resources on and off the blockchain using simple human-readable names. Access domains and transfer history.,QmY8Uzg61ttrogeTyCKLcDDR4gKNK44g9qkGDqeProkSHE,21610,,https://storage.googleapis.com/subgraph-images/1548795052635ENS_Logo_WHITE.png,
UMA,UMA Subgraph,QmVviUCWpxxZuwekyHe87vspJsaugG1KDkfqEwjm3788ku,21610,https://github.com/protofire/uma-subgraph,https://storage.googleapis.com/subgraph-images/1601561900375DsMClZnT_400x400.jpg,
AirSwap,Trading history indexers delegates and more.,QmZ28XHpz1BNhR5jU2ABCqo2PqHutAPE8woaW1tYdDFDqV,10805,https://github.com/airswap/airswap-protocols,https://storage.googleapis.com/subgraph-images/158680119781426823563.png,
Aavegotchi Aragon,Aavegotchi Bonding Curve,QmY6Si48nCutHkofaXDL1mJd4XUxs2SCPeo4G6CT661z4P,10805,,https://storage.googleapis.com/subgraph-images/default/sg-7.png,
Unlock,Unlock on mainnet,QmR2uzq3Tt3htYTmefFwJ6eX2aYySY6ZRZkW9LZG39Byrh,5402,https://github.com/unlock-protocol/unlock-subgraph,https://storage.googleapis.com/subgraph-images/1569531464009unlock.png,
Tellor Dispute V2,tellor dispute center v2,QmfCaCcQnfBWXgCpbtf9kKWosVqUbeGLfEomYVJkMBqKj9,5402,,https://storage.googleapis.com/subgraph-images/default/sg-5.png,
