displayName,description,subgraphID,signal,codeRepository,image
Pooltogether,Records data for PoolTogether,QmecFPxMeFeHETwJdrivTNecBTCko5nyRGgidRrVp4BSfc,437,https://github.com/pooltogether/pooltogether-subgraph,https://storage.googleapis.com/subgraph-images/1599758845172pooltogether-purple-mark@2x.png
Cream Swap Beta,Crypto Rules Everything Around Me C.R.E.A.M.,QmREAAZS5ZB5nAABCutPRVBGVgaVHz21e1miwWXnpGZm51,404,https://github.com/CreamFi/balancer-subgraph,https://storage.googleapis.com/subgraph-images/1599400535254CREAM_transparent_Secondary_straight_color.png
mStable Governance,mStable Governance Subgraph,QmdXYzFaj3nqURSpx7jWvkiYnzVaMobTnQfXzPYYjnYLqv,396,,https://storage.googleapis.com/subgraph-images/1599839414747mta.png
Develop,2nd Layer Protocol Embedding Smart Contracts into HTTP Links,QmafKiDwT7EBJYL9y3rdfnBFUWzkGNytoGzUsiJAxePnLm,383,https://github.com/2key/2key-subgraphs,https://storage.googleapis.com/subgraph-images/15644929968952key_logo_final_formats-fixv2_samlil_1_copy_3__1___2_.png
ptf vesting,PTF Vesting,QmdTVBZyFKcRQRHW7U8ph9Mt4oDBvBrD679FxWQQGiUoJF,356,,https://storage.googleapis.com/subgraph-images/1600677311813Bull BW.png
Uniswap,Uniswap data importer for Unspent.io,QmRpG1kMLJxnruvCScfs4JYPeHJEnJk1ZsEdhpfqaGPUHs,351,,https://storage.googleapis.com/subgraph-images/default/sg-6.png
F8N XDai,Subgraph for xDai,QmYnxSNW9iDPNvHQyP5HZsMsn7chXeKKY7yaQ1uSBvyx28,347,,https://storage.googleapis.com/subgraph-images/default/sg-10.png
Mooniswap,stat for mooniswap,QmUBFkuoDzxHx2EPxwGQdBwshqTF79fzKQnXjTRNVHwg6e,26,,https://storage.googleapis.com/subgraph-images/default/sg-4.png
Circles,Subgraph for Circles community currency,QmcyT4SWn7ctMsm1avAV3jnmCL7u3ZK93XrxcJJJt7hUF5,340,https://github.com/CirclesUBI/circles-subgraph/,https://storage.googleapis.com/subgraph-images/1595251875896circleslogo.jpg
AirSwap,Trading history indexers delegates and more.,QmZ28XHpz1BNhR5jU2ABCqo2PqHutAPE8woaW1tYdDFDqV,51150,https://github.com/airswap/airswap-protocols,https://storage.googleapis.com/subgraph-images/158680119781426823563.png
protocol,Gnosis Protocol,QmQrapV3GN6GnkMByUbf6Xrw1xVqSNAbQtNkXsy6xKAs15,328,https://github.com/gnosis/dex-subgraph,https://storage.googleapis.com/subgraph-images/1585926751418Gnosis_protocol_2019_logo_all_rgb_orange.png
Swap Subgraph,Swap Subgraph for Crypto.com DeFi,QmXhAzDVyYnxSLaeLGDpN941WJ3tyatqhyxh9ScwM82cgJ,325,,https://storage.googleapis.com/subgraph-images/default/sg-6.png
chapter2,To Assist Uniswap2,QmXRD5WZYtVERWkTpFvmqWGkpbbQ1KmsLUgCiRckkNmSJp,302,https://github.com/???,https://storage.googleapis.com/subgraph-images/1601209694793test.jpg
Protocol Raw,Aave protocol data in small units,QmNQz8mhUnkAcfDDEuKZaVdBwffZtYfoUtbQ9NYpaSS1QH,275,https://github.com/aave/aave-protocol/tree/master/thegraph,https://storage.googleapis.com/subgraph-images/1579854627676sticker_aave_telegram.png
Aragon Voting Mainnet,Subgraph for Aragon Connect Voting,QmZ92X4yhsjb7hnttAQMHeG1mH9C2SbLmiSGirHpU74iLW,233,https://github.com/aragon/connect,https://storage.googleapis.com/subgraph-images/1591893467064aralogo1.png
Nifty Ink,A subgraph for nifty.ink (in development),QmS8beCgmU8JLgXCTn7jxkCRtZ5p5mirh1Npcuk7RrBmNJ,226,,https://storage.googleapis.com/subgraph-images/1600381719322party-dinosaur.gif
Nifty Ink Main,Mainnet Nifty Ink Subgraph,Qma7vTnYU9V5FuZhAgwo9zw289KAD8mh4JKMMtMZP8nSVT,222,,https://storage.googleapis.com/subgraph-images/default/sg-7.png
Protocol Multy Kovan Raw,Aave protocol subgraph with all pools data,QmPrz3AMvEJR5dbaxHWvDawJQBFWYRTuSHp5rdrQowSayj,219,https://github.com/graphprotocol/aave-protocol,https://storage.googleapis.com/subgraph-images/1590485671765sticker_aave_telegram.png
Curve VotingEscrow Mainnet,Curve VotingEscrow Mainnet subgraph,QmXwR6LiGaP9yYTsSq8wGUS91Bqat7dStDsuH2XSoeKctY,213,,https://storage.googleapis.com/subgraph-images/default/sg-9.png
Chapter3,Miniswap mainnet channel,QmYPh4BHfJRszYBP7tnPFPHpKf2DdyHAtgRbE8PAnU1fZN,20100,https://github.com/???,https://storage.googleapis.com/subgraph-images/1601393873317zz.jpg
LAND Manager,LAND permissions with a timestamp,QmZWZWLQqY7FqsjjTsShheSZDSmj1Q3RLogNSwME3yep4Q,200,https://github.com/nicosantangelo/watchtower,https://storage.googleapis.com/subgraph-images/1590095332591dlc.png
Always For Sale Gallery,Always for sale art gallery,QmWNcVnVeLHW2QzbUvgEycYdPCNEict1Kd7n9p8ywNPTqD,187,,https://storage.googleapis.com/subgraph-images/default/sg-4.png
NexusMutualTVL,tvl for nexus mutual,QmSErYUZkNj4jy7vVYAZikPdXnbjWS3kW1GWZ9Ff29bKSU,186,,https://storage.googleapis.com/subgraph-images/default/sg-2.png
mStable protocol ropsten,A subgraph for mStable's testnet,QmPNCGkzNffdimLqmchcf7EdT5UwwDjkVcUpgwivkt8RtH,184,,https://storage.googleapis.com/subgraph-images/1590589045486mstable_logo_circle_m_black.jpg
Compound V2,A protocol for algorithmic efficient Money Markets.,QmTN6gMCBCYTgbis33eSvr6sLsQoQ3R6a2KzR7CqmMABQP,182000,,https://storage.googleapis.com/subgraph-images/1573145149921compound.png
